,,,,,,,,,,,,,,,,,,,,,,,
 Date 6/5/2025  Time 11:38:25AM,,,,,,,,,,,,,,,,Page  1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Supplement King,,,,,,,,,,,,,,,
,,,,,,,,Ticket History - Detail,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Price override = ' * ',,,,,,,,,,,,,,,,,,,,,,,
The letter immediately following the item description is line type (U) = Unshipped or (F) = Fully shipped order or layaway line.  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Order by:,"Store, Station, Event #, Ticket #, Document ID, Seq #",,,,,,,,,,,,,,,,,,,,,,
"Ticket History: Ticket date between 6/1/2025 12:00:00 AM and 6/4/2025 11:59:59 PM 
",,,,,,,,,,,,,,,,,,,,,,,
Ticket #,,,,,Store,,Customer #,,,,,Total amt recvd,,Dep received,,,Total cost,,Sale subtotal,,,Tax ovrd reason,
,,,,,,,,,,,,,,,,,,,,,,,
Document type,,,,,Station,,Name,,,,,Total change,,Dep refunded,,,Gross profit,,Misc charges,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Post date,,,Ticket date,,,Event #,,Orig ord #,,,,,Net amt recvd,,Dep forfeit,,,GP %,,,Tax,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sales Rep,,,,,User,,Orig lwy #,,,,,Total tip recvd,,Dep applied,,,,,Gift cards,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket type,,,,,Cust PO#,,Profit center,,,,,,,,,,,,Total,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Store  -  AB-CL       Station   - AB-CL-01 ,,,,,,,,,,,,,,,
AB-CL-T096254,,,,,AB-CL,,AB-CL-C0006093,,,,,131.24,,0.00,,,84.84,,124.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Cold lake Walkin,,,,,0.00,,0.00,,,40.15,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,131.24,,0.00,,,32.1%,,6.25,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,131.24,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
ON-866,,,,,,1,EACH,,124.99,,,79.99,,ON GS Whey 5lbs Dbl Rich Choc,,,,,,,,,
KS800-L2,,,,,,1,FREE,,0.00,,,4.85,,King Shaker 800ml Legacy 2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,White On Black,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096255,,,,,AB-CL,,AB-CL-C0007443,,,,,269.61,,0.00,,,179.21,,256.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,selena porrior,,,,,0.00,,0.00,,,77.56,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,269.61,,0.00,,,30.2%,,12.84,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,269.61,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
AM1115C,,,,,,1,EACH,,129.99,,,67.99,,Allmax Isoflex 5lb Chocolate,,,,,,,,,
GO4073,,,,,,1,EACH,,3.99,,,2.66,,Go! Nutrition Gummy BR,,,,,,,,,
GO4061,,,,,,4,EACH,,15.96,,,10.66,,Go! Nutrition Gummy Watermelon,,,,,,,,,
SIN092,,,,,,2,EACH,,8.54,,,5.71,,Sinfit Protein Chips Ketchup,,,,,,,,,
LEN041,,,,,,1,EACH,,5.22,,,3.56,,L&L Fitzels 85g EverythingBage,,,,,,,,,
PURITY459775,,,,,,1,EACH,,3.79,,,2.65,,HL Oh My Stars! Banana,,,,,,,,,
LF092,,,,,,1,BOX,,44.64,,,32.99,,LF Protein Pastry Strawberry,,,,,,,,,
LF099,,,,,,1,BOX,,44.64,,,32.99,,LF Protein Pastry Blueberry,,,,,,,,,
IXL1200-L2,,,,,,1,FREE,,0.00,,,20.00,,Imperial XL 1200ml Legacy 2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Black,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Points earned,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096256,,,,,AB-CL,,AB-CL-C0004502,,,,,41.98,,0.00,,,25.98,,39.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,rene beaupre,,,,,0.00,,0.00,,,14.00,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,41.98,,0.00,,,35.0%,,2.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,41.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
ANS483699,,,,,,1,BOX,,19.99,,,12.99,,ANS ViON+ Pink Lemonade,,,,,,,,,
ANS483695,,,,,,1,BOX,,19.99,,,12.99,,ANS ViON+ Blue Raspberry,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Points earned,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096257,,,,,AB-CL,,AB-CL-C0004434,,,,,216.71,,0.00,,,113.42,,206.84,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,david/laura jefferson,,,,,0.00,,0.00,,,93.42,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,216.71,,0.00,,,45.2%,,9.87,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,216.71,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
RC157091,,,,,,1,EACH,,61.74,,,30.99,,RC1 MRE Lite 1.92lbs FudgeBrow,,,,,,,,,
AM5400,,,,,,1,EACH,,14.99,,,9.49,,Allmax ZMX 90 Caps,,,,,,,,,
ANS483656,,,,,,1,EACH,,37.99,,,18.63,,ANS Quench EAA 30s Grape,,,,,,,,,
RAB-003,,,,,,1,EACH,,9.49,,,5.99,,Rabkeo Zero Sauces 350ml CHOC,,,,,,,,,
RC157090,,,,,,1,EACH,,61.74,,,30.99,,RC1 MRE Lite 1.92lbs VanillaM,,,,,,,,,
CANPREV195420,,,,,,1,EACH,,20.89,,,11.98,,CanPrev L-Theanine W Mg 90VCap,,,,,,,,,
KSHIRT-L2,,,,,,1,FREE,,0.00,,,5.35,,SK Unisex Crew Legacy 2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,White on Black/XL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,Points redeemed,,,,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096258,,,,,AB-CL,,AB-FM-C0008977,,,,,29.89,,0.00,,,16.41,,28.47,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Andy Legresley,,,,,0.00,,0.00,,,12.06,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,29.89,,0.00,,,42.4%,,1.42,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,29.89,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
PRMESW,,,,,,1,EACH,,3.99,,,2.07,,Prime Energy 355ml StrawberryW,,,,,,,,,
CBUM599,,,,,,1,EACH,,4.49,,,2.92,,CBUM Bum Energy 355ml CherryF,,,,,,,,,
AM2305GR,,,,,,1,EACH,,19.99,,,11.42,,Allmax A:Cuts 36s Grape Escape,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Points earned,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096259,,,,,AB-CL,,AB-LB-C0001253,,,,,52.49,,0.00,,,32.49,,49.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Brennan Ciona (Jets Team),,,,,0.00,,0.00,,,17.50,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,52.49,,0.00,,,35.0%,,2.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,52.49,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
BUCK012,,,,,,1,EACH,,49.99,,,32.49,,Bucked Up 25s Orange Cream,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096260,,,,,AB-CL,,AB-CL-C0006093,,,,,29.39,,0.00,,,18.49,,27.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Cold lake Walkin,,,,,0.00,,0.00,,,9.50,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,29.39,,0.00,,,33.9%,,1.40,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,29.39,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
IM000600,,,,,,1,EACH,,27.99,,,18.49,,NCN Daily Cleanse 1000g,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096261,,,,,AB-CL,,AB-CL-C0007392,,,,,149.61,,0.00,,,78.58,,142.49,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,jean-philippe blouin,,,,,0.00,,0.00,,,63.91,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/1/25,,,6/1/25,,,AB-CL-EVT029180,,,,,,149.61,,0.00,,,44.9%,,7.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
KYOSHIDA,,,,,KYOSHIDA,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,149.61,,,,
,,,,,,,,,,,,,,,,,,,,,,,
