,,,,,,,,,,,,,,,,,,,,,,,
 Date 6/4/2025  Time  9:44:45AM,,,,,,,,,,,,,,,,Page  1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Supplement King,,,,,,,,,,,,,,,
,,,,,,,,Ticket History - Detail,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Price override = ' * ',,,,,,,,,,,,,,,,,,,,,,,
The letter immediately following the item description is line type (U) = Unshipped or (F) = Fully shipped order or layaway line.  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Order by:,"Store, Station, Event #, Ticket #, Document ID, Seq #",,,,,,,,,,,,,,,,,,,,,,
"Ticket History: Ticket date between 6/2/2025 12:00:00 AM and 6/2/2025 11:59:59 PM 
",,,,,,,,,,,,,,,,,,,,,,,
Ticket #,,,,,Store,,Customer #,,,,,Total amt recvd,,Dep received,,,Total cost,,Sale subtotal,,,Tax ovrd reason,
,,,,,,,,,,,,,,,,,,,,,,,
Document type,,,,,Station,,Name,,,,,Total change,,Dep refunded,,,Gross profit,,Misc charges,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Post date,,,Ticket date,,,Event #,,Orig ord #,,,,,Net amt recvd,,Dep forfeit,,,GP %,,,Tax,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sales Rep,,,,,User,,Orig lwy #,,,,,Total tip recvd,,Dep applied,,,,,Gift cards,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket type,,,,,Cust PO#,,Profit center,,,,,,,,,,,,Total,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Store  -  AB-CL       Station   - AB-CL-01 ,,,,,,,,,,,,,,,
AB-CL-T096281,,,,,AB-CL,,AB-CL-C0003855,,,,,108.19,,0.00,,,64.14,,103.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Jason Jubinville,,,,,0.00,,0.00,,,38.90,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,108.19,,0.00,,,37.8%,,5.15,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,108.19,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
AM6000,,,,,,1,EACH,,46.74,,,30.49,,Allmax Creatine 1000g,,,,,,,,,
BELIEVE303,,,,,,1,EACH,,43.99,,,23.90,,Believe Pump Add M 40s SC,,,,,,,,,
QU078U,,,,,,1,EACH,,12.31,,,9.75,,Quest Tortilla Chip 4oz Taco,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096282,,,,,AB-CL,,AB-CL-C0005148,,,,,11.01,,0.00,,,4.20,,10.49,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Heath Green,,,,,0.00,,0.00,,,6.29,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,11.01,,0.00,,,60.0%,,0.52,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,11.01,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
KINGSTRAP-L2,,,,,,1,EACH,,10.49,,,4.20,,SK Lifting Straps Legacy 2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,White On Black,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096283,,,,,AB-CL,,AB-CL-C0009465,,,,,68.23,,0.00,,,38.71,,64.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,parker charleigh,,,,,0.00,,0.00,,,26.27,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,68.23,,0.00,,,40.4%,,3.25,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,68.23,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
AM3040,,,,,,1,EACH,,19.99,,,12.50,,Allmax Omega 3 180 Softgels,,,,,,,,,
CANPREV195534,,,,,,1,EACH,,44.99,,,26.21,,CanPrev D3 & K2 240 Softgels,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Points earned,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096284,,,,,AB-CL,,AB-CL-C0006093,,,,,74.53,,0.00,,,44.41,,70.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,Cold lake Walkin,,,,,0.00,,0.00,,,26.57,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,74.53,,0.00,,,37.4%,,3.55,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,74.53,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
GHO009,,,,,,1,EACH,,59.99,,,40.01,,Ghost Vegan 2lb Pancake Batter,,,,,,,,,
KS600-VS,,,,,,1,EACH,,10.99,,,4.40,,King Shaker 600ml Vintage Seri,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Rad Red,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096285,,,,,AB-CL,,AB-CL-C0000990,,,,,160.60,,0.00,,,92.91,,152.95,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,rhea wurst,,,,,0.00,,0.00,,,60.04,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,160.60,,0.00,,,39.3%,,7.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,160.60,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
BELIEVE250,,,,,,1,EACH,,89.99,,,38.98,,Believe SF + Greens 70s CB,,,,,,,,,
BELIEVE082,,,,,,1,EACH,,0.00,,,*,18.99,,Believe Omega3 120 Softgels,,,,,PRICEADJ,,,
PRO504,,,,,,1,EACH,,5.99,,,3.78,,Protein Candy 55g Sour,,,,,,,,,
PRO505,,,,,,1,EACH,,5.99,,,3.78,,Protein Candy 55g Berry Punch,,,,,,,,,
PRO507,,,,,,1,EACH,,5.99,,,3.78,,Protein Candy 55g Classic Frui,,,,,,,,,
BELIEVE100,,,,,,1,EACH,,44.99,,,18.75,,Believe SF + Greens 30s MB,,,,,,,,,
KS800-VS,,,,,,1,FREE,,0.00,,,4.85,,King Shaker 800ml Vintage Seri,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Mellow Yellow,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loyalty Program - ,,,,Royalty Bucks Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Points earned,,,,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096286,,,,,AB-CL,,AB-CL-C0009567,,,,,140.03,,0.00,,,87.57,,133.36,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,christian mendrikis,,,,,0.00,,0.00,,,45.79,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,140.03,,0.00,,,34.3%,,6.67,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,140.03,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
ANS483654,,,,,,1,EACH,,31.99,,,19.99,,ANS Quench EAA 30s BR,,,,,,,,,
AM8400,,,,,,1,EACH,,27.99,,,20.99,,Allmax Beta Alanine 400g,,,,,,,,,
ANS483705,,,,,,1,EACH,,35.99,,,21.75,,ANS Dilate Liquid Pump 31s SM,,,,,,,,,
PVL53710,,,,,,1,EACH,,37.39,,,19.99,,PVL Creatine 1000g,,,,,,,,,
KS800-VS,,,,,,1,FREE,,0.00,,,4.85,,King Shaker 800ml Vintage Seri,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Funky Blue,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096287,,,,,AB-CL,,AB-CL-C0009211,,,,,277.12,,0.00,,,163.80,,263.92,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,angela hewer,,,,,0.00,,0.00,,,100.12,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,277.12,,0.00,,,37.9%,,13.20,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,277.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
TC40,,,,,,2,EACH,,63.98,,,41.48,,TC Enhanced Collagen 450g,,,,,,,,,
BELIEVE121,,,,,,2,EACH,,63.98,,,39.98,,Believe Vitamin + Mineral 90,,,,,,,,,
BELIEVE100,,,,,,2,EACH,,71.98,,,37.51,,Believe SF + Greens 30s MB,,,,,,,,,
ANS483655,,,,,,2,EACH,,63.98,,,39.98,,ANS Quench EAA 30s PL,,,,,,,,,
KS800-SQ2,,,,,,1,FREE,,0.00,,,4.85,,King Shaker 800ml SQ 2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Teal/White On T,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AB-CL-T096288,,,,,AB-CL,,AB-CL-C0006823,,,,,134.57,,0.00,,,84.82,,129.21,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ticket,,,,,AB-CL-01,,nathan flanders,,,,,0.00,,0.00,,,44.39,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/2/25,,,6/2/25,,,AB-CL-EVT029199,,,,,,134.57,,0.00,,,34.4%,,5.36,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RSCHULZ,,,,,RSCHULZ,,,,,,,,,0.00,,,,,0.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sale ticket,,,,,,,,,,,,,,,,,,,134.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Item #,,,,,,Qty sld,Selling unit,,,Disp ext prc,,Extended cost,,Description          ____________,,,,,Return / price reason                                                                  ,,,Disc amt,
,,,,,,,,,,,,,,,,,,,,,,,
PES-FP-1001-25,,,,,,1,EACH,,59.49,,,31.49,,PES Isolate Protein 27s VC,,,,,,,,,
GRENADE31074,,,,,,1,EACH,,11.04,,,7.99,,Grenade Spread CCSC,,,,,,,,,
