,,,,,,,,,,,,,,,,,,,,,,,,,,
 Date 5/23/2025  Time 12:36:53PM,,,,,,,,,,,,,,,,,,,,,,,,,,Page  1
,,,,,,,,Supplement King,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchandise Analysis by Item number,,,,,,,,,,,,,,,,,,
,,,,,,,,(Custom),,,,,,,,,,,,,,,,,,
Analyze by: Item,,,,,,,,,,,,,,,,,,,,,,,,,,
Print: All ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by: Qty sold (shaded),,,,,,,,,,,,,,,,,,,,,,,,,,
Group by: Vendor/Category,,,,,,,,,,,,,,,,,,,,,,,,,,
Print: All  in each group,,,,,,,,,,,,,,,,,,,,,,,,,,
Order by: Group description,,,,,,,,,,,,,,,,,,,,,,,,,,
Report period: 4/8/2025 to 5/22/2025 (45 days),,,,,,,,,,,,,,,,,,,,,,,,,,
Locations: All,,,,,,,,,,,,,,,,,,,,,,,,,,
Show location detail,,,,,,,,,,,,,,,,,,,,,,,,,,
'*' by Item number indicates the group includes miscellaneous items; values may not 'add across' the report,,,,,,,,,,,,,,,,,,,,,,,,,,
"Item: Primary vendor between JS-WG-V0000011 and JS-WG-V0000011 and
Status is (exactly) Active ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor/Category,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,,,,,Item number,,,,Description,,,,,,,,,Location,,,Qty sld,,,,Qty on hnd,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
JS-WG-V0000011/BCAAS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,BA-111,,,,Ballistic Amino Reload 30s OP,,,,,,,,,AB-CL,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-CLP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EA,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EB,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EC,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ED,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ET,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EW,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-FS,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-HP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SA,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SG,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SP,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BA-111 totals,,,,,,,,,,,,,,,,1,,,,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,BA-112,,,,Ballistic Amino Reload 30s PC,,,,,,,,,AB-CL,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-CLP,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EA,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EB,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EC,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ED,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ET,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EW,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-FS,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-HP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SA,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SG,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SP,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BA-112 totals,,,,,,,,,,,,,,,,2,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,BA-110,,,,Ballistic Amino Reload 30s PM,,,,,,,,,AB-CL,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-CLP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EA,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EB,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EC,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ED,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-ET,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EW,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-FS,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-HP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SA,,,1,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SG,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-SP,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BA-110 totals,,,,,,,,,,,,,,,,3,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,BA-113,,,,Ballistic Amino Reload 30s WM,,,,,,,,,AB-CL,,,0,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-CLP,,,0,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AB-EA,,,0,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
