item_number,description,vendor,retail_price,brand
1407,Animal Pak 44 Packs,NUTRITION EXCEL,76.99,ANIMAL
1422,HIM Party Smart Hangover Aid,PEAKPERFORM,3.99,HIMALAYA
1511,Animal Pump 30 Packs,NUTRITION EXCEL,94.99,ANIMAL
1698,ANS Fortitude 120 Caps,IMPERIAL,59.99,ANS
1789,Nuts 'N More Almond,NUTRITION EXCEL,26.99,NUTS N' MO
1792,Bell Plantation PB2 1lb,NUTRITION EXCEL,21.99,BELLPLANTA
1793,Bell Plantation PB2 1lb Choc,NUTRITION EXCEL,21.99,BELLPLANTA
1794,Mama T's Protein Cookie,MAMA T'S,4.49,MAMAT
AA-120,EFX Kre-Alkalyn 120 Caps,EMPIRE,39.99,EFX
AA-150,EFX Kre-Alkalyn 500g Cherry,EMPIRE,79.99,EFX
AA-151,EFX Kre-Alkalyn 500g Grape,EMPIRE,79.99,EFX
AA-152,EFX Kre-Alkalyn 500g Unflavour,EMPIRE,79.99,EFX
AA-192,EFX Kre-Alkalyn 192 Caps,EMPIRE,54.99,EFX
AA-300,"EFX Karbolyn 2,2lb Unflavoured",EMPIRE,44.99,EFX
AA-301,EFX Karbolyn 2.2lb Fruit Punch,EMPIRE,44.99,EFX
AA-304,EFX Karbolyn 2.2lb Cherry Lime,EMPIRE,44.99,EFX
AA-305,EFX Karbolyn 2.2lb Kiwi Straw,EMPIRE,44.99,EFX
AA-306,EFX Karbolyn 2.2lb BRazz Water,EMPIRE,44.99,EFX
AA-309,EFX Karbolyn 2.2lb PeachM,EMPIRE,44.99,EFX
AA-400,EFX Karbolyn 4.4lb Unflavoured,EMPIRE,74.99,EFX
AA-401,EFX Karbolyn 4.4lb Fruit Punch,EMPIRE,74.99,EFX
AA-404,EFX Karbolyn 4.4lb Cherry Lime,EMPIRE,74.99,EFX
AA-406,EFX Karbolyn 4.4lb BRazz Water,EMPIRE,74.99,EFX
AAP-030,EFX Kre-Alkyalyn 30 Caps,EMPIRE,14.99,EFX
AAP-101,EFX Kre-Alkalyn 200g Grape,EMPIRE,39.99,EFX
AAP-102,EFX Kre-Alkalyn 200g Unflavour,EMPIRE,39.99,EFX
AAP-103,EFX Kre-Alkalyn 200g Blue Fros,EMPIRE,39.99,EFX
AAP-104,EFX Kre-Alkalyn 200g Mango,EMPIRE,39.99,EFX
AAP-153,EFX Kre-Alkalyn 500g Blue Fros,EMPIRE,79.99,EFX
